chromosome	position	predicted	target	matched predicted	matched target	precision	recall	F1 score
1	23200	5	11	2.0	2.0	0.4	0.18181818181818182	0.25
1	23600	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
1	24000	5	5	4.0	5.0	0.8	1.0	0.8888888888888888
1	24400	3	9	2.0	2.0	0.6666666666666666	0.2222222222222222	0.3333333333333333
2	0	1	1	0.0	0.0	0.0	0.0	0.0
2	400	2	2	2.0	1.0	1.0	0.5	0.6666666666666666
2	800	4	13	4.0	4.0	1.0	0.3076923076923077	0.47058823529411764
2	1200	0	1	0.0	0.0		0.0	
2	1600	2	5	2.0	2.0	1.0	0.4	0.5714285714285714
2	2000	2	4	2.0	2.0	1.0	0.5	0.6666666666666666
2	2400	5	12	5.0	5.0	1.0	0.4166666666666667	0.5882352941176471
2	2800	2	4	1.0	1.0	0.5	0.25	0.3333333333333333
2	3200	1	1	1.0	1.0	1.0	1.0	1.0
2	3600	5	9	4.0	5.0	0.8	0.5555555555555556	0.6557377049180328
2	4000	3	18	3.0	5.0	1.0	0.2777777777777778	0.4347826086956522
2	4400	4	14	4.0	4.0	1.0	0.2857142857142857	0.4444444444444444
2	4800	1	4	1.0	1.0	1.0	0.25	0.4
2	5200	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
2	6000	1	7	1.0	1.0	1.0	0.14285714285714285	0.25
2	6400	5	13	5.0	5.0	1.0	0.38461538461538464	0.5555555555555556
2	6800	7	22	6.0	6.0	0.8571428571428571	0.2727272727272727	0.4137931034482758
2	7200	3	9	1.0	1.0	0.3333333333333333	0.1111111111111111	0.16666666666666666
2	8000	0	1	0.0	0.0		0.0	
2	8400	3	7	2.0	2.0	0.6666666666666666	0.2857142857142857	0.4
2	9600	7	8	5.0	5.0	0.7142857142857143	0.625	0.6666666666666666
2	10000	4	10	4.0	4.0	1.0	0.4	0.5714285714285714
2	10400	2	4	2.0	2.0	1.0	0.5	0.6666666666666666
2	10800	0	3	0.0	0.0		0.0	
2	11200	5	14	3.0	4.0	0.6	0.2857142857142857	0.3870967741935484
2	11600	0	1	0.0	0.0		0.0	
2	12000	1	10	1.0	1.0	1.0	0.1	0.18181818181818182
2	12400	0	1	0.0	0.0		0.0	
2	12800	0	3	0.0	0.0		0.0	
2	13200	1	3	0.0	0.0	0.0	0.0	0.0
2	13600	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
2	14400	0	1	0.0	0.0		0.0	
2	14800	1	2	0.0	0.0	0.0	0.0	0.0
2	15200	0	3	0.0	0.0		0.0	
2	15600	2	4	2.0	2.0	1.0	0.5	0.6666666666666666
2	16000	0	1	0.0	0.0		0.0	
2	16800	1	15	1.0	1.0	1.0	0.06666666666666667	0.125
2	17200	5	13	3.0	4.0	0.6	0.3076923076923077	0.4067796610169491
2	17600	3	17	2.0	3.0	0.6666666666666666	0.17647058823529413	0.27906976744186046
2	18000	1	3	0.0	0.0	0.0	0.0	0.0
2	18800	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
2	19200	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
2	19600	0	7	0.0	0.0		0.0	
2	20000	2	5	0.0	0.0	0.0	0.0	0.0
2	20800	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
2	21600	5	8	4.0	4.0	0.8	0.5	0.6153846153846154
2	22000	0	10	0.0	0.0		0.0	
2	22400	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
2	22800	1	6	0.0	0.0	0.0	0.0	0.0
2	23200	3	7	3.0	3.0	1.0	0.42857142857142855	0.6
2	23600	1	9	1.0	1.0	1.0	0.1111111111111111	0.2
3	400	3	6	3.0	3.0	1.0	0.5	0.6666666666666666
3	800	1	13	1.0	1.0	1.0	0.07692307692307693	0.14285714285714285
3	1200	8	16	5.0	5.0	0.625	0.3125	0.41666666666666663
3	1600	2	7	1.0	1.0	0.5	0.14285714285714285	0.2222222222222222
3	3200	1	10	1.0	1.0	1.0	0.1	0.18181818181818182
3	3600	2	11	2.0	2.0	1.0	0.18181818181818182	0.3076923076923077
3	4000	1	9	1.0	1.0	1.0	0.1111111111111111	0.2
3	4400	5	22	5.0	5.0	1.0	0.22727272727272727	0.37037037037037035
3	4800	4	14	4.0	4.0	1.0	0.2857142857142857	0.4444444444444444
3	5200	2	6	1.0	1.0	0.5	0.16666666666666666	0.25
3	5600	3	9	3.0	3.0	1.0	0.3333333333333333	0.5
3	6000	1	2	0.0	0.0	0.0	0.0	0.0
3	6800	1	6	1.0	1.0	1.0	0.16666666666666666	0.2857142857142857
3	7200	1	5	1.0	1.0	1.0	0.2	0.3333333333333333
3	7600	1	2	0.0	0.0	0.0	0.0	0.0
3	9600	1	5	1.0	1.0	1.0	0.2	0.3333333333333333
3	10000	2	3	1.0	1.0	0.5	0.3333333333333333	0.4
3	10400	0	1	0.0	0.0		0.0	
3	10800	0	1	0.0	0.0		0.0	
3	11200	2	5	1.0	1.0	0.5	0.2	0.2857142857142857
3	11600	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
3	12000	1	7	0.0	0.0	0.0	0.0	0.0
3	12400	3	6	3.0	2.0	1.0	0.3333333333333333	0.5
3	12800	3	7	3.0	3.0	1.0	0.42857142857142855	0.6
3	13200	4	7	4.0	4.0	1.0	0.5714285714285714	0.7272727272727273
3	13600	3	10	3.0	3.0	1.0	0.3	0.46153846153846145
3	14000	2	14	1.0	1.0	0.5	0.07142857142857142	0.125
3	14400	0	1	0.0	0.0		0.0	
3	14800	5	12	5.0	5.0	1.0	0.4166666666666667	0.5882352941176471
3	15200	3	4	0.0	0.0	0.0	0.0	0.0
3	15600	0	7	0.0	0.0		0.0	
3	16400	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
3	16800	0	5	0.0	0.0		0.0	
3	17200	0	3	0.0	0.0		0.0	
3	17600	1	8	0.0	0.0	0.0	0.0	0.0
3	18000	2	11	1.0	1.0	0.5	0.09090909090909091	0.15384615384615385
3	18400	6	15	5.0	4.0	0.8333333333333334	0.26666666666666666	0.40404040404040403
3	19200	7	21	7.0	6.0	1.0	0.2857142857142857	0.4444444444444444
4	0	2	8	1.0	1.0	0.5	0.125	0.2
4	400	0	9	0.0	0.0		0.0	
4	800	5	9	3.0	4.0	0.6	0.4444444444444444	0.5106382978723404
4	1200	0	2	0.0	0.0		0.0	
4	1600	3	4	0.0	0.0	0.0	0.0	0.0
4	2000	1	3	0.0	0.0	0.0	0.0	0.0
4	2400	1	2	0.0	0.0	0.0	0.0	0.0
4	2800	0	1	0.0	0.0		0.0	
4	3600	3	12	1.0	1.0	0.3333333333333333	0.08333333333333333	0.13333333333333333
4	4000	4	10	4.0	3.0	1.0	0.3	0.46153846153846145
4	5200	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
4	5600	2	3	1.0	1.0	0.5	0.3333333333333333	0.4
4	6800	0	1	0.0	0.0		0.0	
4	7200	3	8	3.0	3.0	1.0	0.375	0.5454545454545455
4	7600	0	5	0.0	0.0		0.0	
4	8000	0	9	0.0	0.0		0.0	
4	8400	0	4	0.0	0.0		0.0	
4	8800	1	12	0.0	0.0	0.0	0.0	0.0
4	9200	3	1	1.0	1.0	0.3333333333333333	1.0	0.5
4	10000	0	8	0.0	0.0		0.0	
4	10400	1	1	0.0	0.0	0.0	0.0	0.0
4	10800	3	7	2.0	2.0	0.6666666666666666	0.2857142857142857	0.4
4	11200	2	2	0.0	0.0	0.0	0.0	0.0
4	12000	1	6	0.0	0.0	0.0	0.0	0.0
4	12400	2	1	0.0	0.0	0.0	0.0	0.0
4	12800	3	3	0.0	0.0	0.0	0.0	0.0
4	13600	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
4	14000	1	4	0.0	0.0	0.0	0.0	0.0
4	15200	3	12	3.0	4.0	1.0	0.3333333333333333	0.5
4	15600	0	2	0.0	0.0		0.0	
4	16000	0	2	0.0	0.0		0.0	
4	16400	0	4	0.0	0.0		0.0	
4	16800	2	2	0.0	0.0	0.0	0.0	0.0
4	17200	0	5	0.0	0.0		0.0	
4	17600	1	2	0.0	0.0	0.0	0.0	0.0
4	18000	3	1	0.0	0.0	0.0	0.0	0.0
4	18400	2	8	1.0	1.0	0.5	0.125	0.2
5	0	2	4	1.0	1.0	0.5	0.25	0.3333333333333333
5	400	0	2	0.0	0.0		0.0	
5	800	2	4	2.0	3.0	1.0	0.75	0.8571428571428572
5	1200	3	4	2.0	2.0	0.6666666666666666	0.5	0.5714285714285714
5	1600	1	3	0.0	0.0	0.0	0.0	0.0
5	3200	1	7	1.0	2.0	1.0	0.2857142857142857	0.4444444444444444
5	3600	1	12	1.0	1.0	1.0	0.08333333333333333	0.15384615384615385
5	4000	1	6	1.0	1.0	1.0	0.16666666666666666	0.2857142857142857
5	5200	1	6	1.0	1.0	1.0	0.16666666666666666	0.2857142857142857
5	5600	3	2	1.0	1.0	0.3333333333333333	0.5	0.4
5	6400	2	2	1.0	1.0	0.5	0.5	0.5
5	7200	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
5	7600	2	2	2.0	2.0	1.0	1.0	1.0
5	8000	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
5	8400	0	1	0.0	0.0		0.0	
5	8800	2	5	0.0	0.0	0.0	0.0	0.0
5	9200	1	6	1.0	1.0	1.0	0.16666666666666666	0.2857142857142857
5	9600	1	4	1.0	1.0	1.0	0.25	0.4
5	10000	0	2	0.0	0.0		0.0	
5	10800	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
5	11200	0	3	0.0	0.0		0.0	
5	11600	0	1	0.0	0.0		0.0	
5	12000	0	3	0.0	0.0		0.0	
5	12400	4	5	4.0	4.0	1.0	0.8	0.8888888888888888
5	12800	1	8	1.0	1.0	1.0	0.125	0.2222222222222222
5	13200	5	17	5.0	5.0	1.0	0.29411764705882354	0.45454545454545453
5	13600	4	15	3.0	3.0	0.75	0.2	0.31578947368421056
5	14000	1	6	1.0	1.0	1.0	0.16666666666666666	0.2857142857142857
5	14400	0	4	0.0	0.0		0.0	
5	14800	5	24	4.0	4.0	0.8	0.16666666666666666	0.27586206896551724
5	15200	1	9	1.0	2.0	1.0	0.2222222222222222	0.36363636363636365
5	15600	5	6	3.0	3.0	0.6	0.5	0.5454545454545454
5	16400	0	1	0.0	0.0		0.0	
5	16800	6	11	4.0	4.0	0.6666666666666666	0.36363636363636365	0.47058823529411764
5	17200	8	10	3.0	3.0	0.375	0.3	0.3333333333333333
5	17600	5	9	2.0	2.0	0.4	0.2222222222222222	0.2857142857142857
6	0	4	18	4.0	5.0	1.0	0.2777777777777778	0.4347826086956522
6	400	1	3	0.0	0.0	0.0	0.0	0.0
6	800	1	2	0.0	0.0	0.0	0.0	0.0
6	1200	2	3	1.0	1.0	0.5	0.3333333333333333	0.4
6	1600	1	4	1.0	1.0	1.0	0.25	0.4
6	2000	2	3	1.0	1.0	0.5	0.3333333333333333	0.4
6	2400	6	13	3.0	3.0	0.5	0.23076923076923078	0.31578947368421056
6	2800	8	33	8.0	8.0	1.0	0.24242424242424243	0.3902439024390244
6	3200	8	23	8.0	9.0	1.0	0.391304347826087	0.5625
6	3600	3	18	3.0	5.0	1.0	0.2777777777777778	0.4347826086956522
6	4000	3	19	3.0	3.0	1.0	0.15789473684210525	0.2727272727272727
6	4400	3	7	1.0	1.0	0.3333333333333333	0.14285714285714285	0.2
6	4800	2	3	1.0	1.0	0.5	0.3333333333333333	0.4
6	5200	4	11	3.0	4.0	0.75	0.36363636363636365	0.489795918367347
6	6800	1	9	1.0	1.0	1.0	0.1111111111111111	0.2
6	7200	1	4	1.0	1.0	1.0	0.25	0.4
6	8000	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
6	8400	2	3	1.0	1.0	0.5	0.3333333333333333	0.4
6	8800	4	6	4.0	4.0	1.0	0.6666666666666666	0.8
6	9600	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
6	10000	2	3	2.0	2.0	1.0	0.6666666666666666	0.8
6	10400	2	7	2.0	2.0	1.0	0.2857142857142857	0.4444444444444444
6	10800	2	16	1.0	1.0	0.5	0.0625	0.1111111111111111
6	11200	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
6	11600	2	4	1.0	1.0	0.5	0.25	0.3333333333333333
6	12400	3	7	3.0	3.0	1.0	0.42857142857142855	0.6
6	12800	1	4	0.0	0.0	0.0	0.0	0.0
6	13200	5	14	3.0	4.0	0.6	0.2857142857142857	0.3870967741935484
6	13600	1	15	1.0	1.0	1.0	0.06666666666666667	0.125
6	14400	2	7	1.0	2.0	0.5	0.2857142857142857	0.36363636363636365
6	14800	4	14	4.0	6.0	1.0	0.42857142857142855	0.6
6	15200	0	4	0.0	0.0		0.0	
6	15600	4	11	3.0	3.0	0.75	0.2727272727272727	0.4
6	16000	4	6	3.0	3.0	0.75	0.5	0.6000000000000001
6	16400	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
7	0	8	9	6.0	6.0	0.75	0.6666666666666666	0.7058823529411765
7	400	3	10	2.0	2.0	0.6666666666666666	0.2	0.3076923076923077
7	1200	2	5	1.0	1.0	0.5	0.2	0.2857142857142857
7	1600	1	2	0.0	0.0	0.0	0.0	0.0
7	2000	7	12	6.0	6.0	0.8571428571428571	0.5	0.631578947368421
7	2400	7	17	6.0	6.0	0.8571428571428571	0.35294117647058826	0.5
7	2800	4	9	2.0	2.0	0.5	0.2222222222222222	0.3076923076923077
7	3200	0	3	0.0	0.0		0.0	
7	3600	4	11	3.0	4.0	0.75	0.36363636363636365	0.489795918367347
7	4000	2	2	0.0	0.0	0.0	0.0	0.0
7	4400	8	7	5.0	5.0	0.625	0.7142857142857143	0.6666666666666666
7	4800	0	6	0.0	0.0		0.0	
7	5200	3	2	1.0	1.0	0.3333333333333333	0.5	0.4
7	6400	1	1	1.0	1.0	1.0	1.0	1.0
7	6800	1	1	1.0	1.0	1.0	1.0	1.0
7	7200	11	24	10.0	12.0	0.9090909090909091	0.5	0.6451612903225806
7	7600	2	2	1.0	1.0	0.5	0.5	0.5
7	8400	1	5	1.0	1.0	1.0	0.2	0.3333333333333333
7	8800	0	1	0.0	0.0		0.0	
7	9200	3	7	3.0	3.0	1.0	0.42857142857142855	0.6
7	9600	10	11	9.0	8.0	0.9	0.7272727272727273	0.8044692737430167
7	10000	8	15	8.0	7.0	1.0	0.4666666666666667	0.6363636363636364
7	10400	8	18	7.0	7.0	0.875	0.3888888888888889	0.5384615384615385
7	10800	0	3	0.0	0.0		0.0	
7	11200	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
7	11600	0	4	0.0	0.0		0.0	
7	12000	1	6	1.0	1.0	1.0	0.16666666666666666	0.2857142857142857
7	12400	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
7	12800	3	20	3.0	4.0	1.0	0.2	0.3333333333333333
7	13200	1	7	1.0	1.0	1.0	0.14285714285714285	0.25
7	13600	2	9	2.0	2.0	1.0	0.2222222222222222	0.36363636363636365
7	14000	4	6	3.0	2.0	0.75	0.3333333333333333	0.46153846153846156
7	14800	3	10	2.0	2.0	0.6666666666666666	0.2	0.3076923076923077
7	15200	2	4	1.0	1.0	0.5	0.25	0.3333333333333333
8	0	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
8	400	1	1	1.0	1.0	1.0	1.0	1.0
8	800	4	16	2.0	2.0	0.5	0.125	0.2
8	1200	0	5	0.0	0.0		0.0	
8	1600	0	7	0.0	0.0		0.0	
8	2000	3	14	3.0	3.0	1.0	0.21428571428571427	0.3529411764705882
8	2400	0	10	0.0	0.0		0.0	
8	2800	2	3	2.0	2.0	1.0	0.6666666666666666	0.8
8	3200	0	1	0.0	0.0		0.0	
8	3600	0	9	0.0	0.0		0.0	
8	4000	5	9	3.0	3.0	0.6	0.3333333333333333	0.42857142857142855
8	4800	1	1	0.0	0.0	0.0	0.0	0.0
8	5200	0	1	0.0	0.0		0.0	
8	5600	0	2	0.0	0.0		0.0	
8	6000	3	4	1.0	1.0	0.3333333333333333	0.25	0.2857142857142857
8	6400	2	6	2.0	3.0	1.0	0.5	0.6666666666666666
8	6800	1	4	1.0	1.0	1.0	0.25	0.4
8	7200	1	5	0.0	0.0	0.0	0.0	0.0
8	8000	2	6	2.0	2.0	1.0	0.3333333333333333	0.5
8	8400	2	2	0.0	0.0	0.0	0.0	0.0
8	8800	0	3	0.0	0.0		0.0	
8	9200	3	3	1.0	1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333
8	9600	0	4	0.0	0.0		0.0	
8	10000	4	14	2.0	2.0	0.5	0.14285714285714285	0.2222222222222222
8	10400	2	6	2.0	2.0	1.0	0.3333333333333333	0.5
8	10800	3	4	1.0	1.0	0.3333333333333333	0.25	0.2857142857142857
8	11600	0	1	0.0	0.0		0.0	
8	12000	0	2	0.0	0.0		0.0	
8	12400	2	10	1.0	2.0	0.5	0.2	0.2857142857142857
8	12800	0	2	0.0	0.0		0.0	
8	13200	0	10	0.0	0.0		0.0	
8	13600	1	1	1.0	1.0	1.0	1.0	1.0
8	14000	2	16	2.0	2.0	1.0	0.125	0.2222222222222222
10	0	0	1	0.0	0.0		0.0	
10	400	4	11	3.0	3.0	0.75	0.2727272727272727	0.4
10	800	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
10	1200	2	9	2.0	2.0	1.0	0.2222222222222222	0.36363636363636365
10	1600	1	5	1.0	1.0	1.0	0.2	0.3333333333333333
10	2000	1	4	1.0	1.0	1.0	0.25	0.4
10	2400	0	5	0.0	0.0		0.0	
10	2800	3	7	3.0	3.0	1.0	0.42857142857142855	0.6
10	3200	1	4	1.0	1.0	1.0	0.25	0.4
10	5200	1	2	0.0	0.0	0.0	0.0	0.0
10	6000	2	14	2.0	3.0	1.0	0.21428571428571427	0.3529411764705882
10	6400	0	1	0.0	0.0		0.0	
10	6800	4	12	4.0	4.0	1.0	0.3333333333333333	0.5
10	7200	5	26	5.0	6.0	1.0	0.23076923076923078	0.375
10	7600	4	6	2.0	2.0	0.5	0.3333333333333333	0.4
10	8000	6	9	5.0	5.0	0.8333333333333334	0.5555555555555556	0.6666666666666666
10	8400	2	7	2.0	3.0	1.0	0.42857142857142855	0.6
10	8800	3	5	2.0	2.0	0.6666666666666666	0.4	0.5
10	9200	0	8	0.0	0.0		0.0	
10	9600	7	13	6.0	6.0	0.8571428571428571	0.46153846153846156	0.6000000000000001
10	10000	4	16	4.0	4.0	1.0	0.25	0.4
10	10400	3	16	3.0	3.0	1.0	0.1875	0.31578947368421056
10	10800	2	1	1.0	1.0	0.5	1.0	0.6666666666666666
10	11200	3	5	2.0	2.0	0.6666666666666666	0.4	0.5
10	11600	0	2	0.0	0.0		0.0	
10	12000	1	6	1.0	1.0	1.0	0.16666666666666666	0.2857142857142857
10	12400	2	7	2.0	2.0	1.0	0.2857142857142857	0.4444444444444444
10	12800	0	1	0.0	0.0		0.0	
11	0	14	23	10.0	9.0	0.7142857142857143	0.391304347826087	0.5056179775280899
11	400	1	13	0.0	0.0	0.0	0.0	0.0
11	800	6	13	3.0	4.0	0.5	0.3076923076923077	0.38095238095238093
11	1200	5	15	3.0	4.0	0.6	0.26666666666666666	0.3692307692307692
11	1600	5	14	5.0	5.0	1.0	0.35714285714285715	0.5263157894736842
11	2000	1	5	1.0	3.0	1.0	0.6	0.7499999999999999
11	2400	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
11	2800	0	2	0.0	0.0		0.0	
11	3200	5	16	4.0	4.0	0.8	0.25	0.38095238095238093
11	3600	2	6	1.0	1.0	0.5	0.16666666666666666	0.25
11	4000	0	1	0.0	0.0		0.0	
11	4400	7	18	7.0	7.0	1.0	0.3888888888888889	0.56
11	4800	0	3	0.0	0.0		0.0	
11	5600	2	14	2.0	2.0	1.0	0.14285714285714285	0.25
11	6000	7	22	5.0	6.0	0.7142857142857143	0.2727272727272727	0.39473684210526316
11	6400	5	21	5.0	5.0	1.0	0.23809523809523808	0.3846153846153846
11	6800	4	14	2.0	2.0	0.5	0.14285714285714285	0.2222222222222222
11	7200	11	26	8.0	9.0	0.7272727272727273	0.34615384615384615	0.4690553745928338
11	7600	1	13	1.0	2.0	1.0	0.15384615384615385	0.26666666666666666
11	8000	0	2	0.0	0.0		0.0	
11	8400	2	9	1.0	1.0	0.5	0.1111111111111111	0.18181818181818182
11	9200	1	6	0.0	0.0	0.0	0.0	0.0
11	9600	0	2	0.0	0.0		0.0	
11	10000	0	1	0.0	0.0		0.0	
11	10400	0	1	0.0	0.0		0.0	
11	10800	2	8	1.0	1.0	0.5	0.125	0.2
11	11200	3	9	2.0	2.0	0.6666666666666666	0.2222222222222222	0.3333333333333333
11	11600	6	9	4.0	5.0	0.6666666666666666	0.5555555555555556	0.6060606060606061
11	12000	5	8	5.0	5.0	1.0	0.625	0.7692307692307692
11	12400	4	5	3.0	3.0	0.75	0.6	0.6666666666666666
11	12800	3	8	3.0	3.0	1.0	0.375	0.5454545454545455
12	0	9	12	8.0	8.0	0.8888888888888888	0.6666666666666666	0.7619047619047619
12	400	6	12	5.0	5.0	0.8333333333333334	0.4166666666666667	0.5555555555555556
12	800	6	10	5.0	5.0	0.8333333333333334	0.5	0.625
12	1200	4	6	3.0	3.0	0.75	0.5	0.6000000000000001
12	1600	0	1	0.0	0.0		0.0	
12	2000	2	3	1.0	1.0	0.5	0.3333333333333333	0.4
12	2400	0	2	0.0	0.0		0.0	
12	2800	1	2	1.0	1.0	1.0	0.5	0.6666666666666666
12	4000	1	1	0.0	0.0	0.0	0.0	0.0
12	4400	1	1	0.0	0.0	0.0	0.0	0.0
12	4800	8	27	5.0	5.0	0.625	0.18518518518518517	0.2857142857142857
12	5200	8	26	8.0	7.0	1.0	0.2692307692307692	0.42424242424242425
12	5600	8	18	8.0	9.0	1.0	0.5	0.6666666666666666
12	6000	0	1	0.0	0.0		0.0	
12	6400	2	4	2.0	2.0	1.0	0.5	0.6666666666666666
12	6800	1	8	1.0	1.0	1.0	0.125	0.2222222222222222
12	7200	0	2	0.0	0.0		0.0	
12	7600	3	1	0.0	0.0	0.0	0.0	0.0
12	8800	0	3	0.0	0.0		0.0	
12	9200	1	11	0.0	0.0	0.0	0.0	0.0
12	9600	0	3	0.0	0.0		0.0	
12	10000	3	3	1.0	1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333
12	10400	2	8	2.0	1.0	1.0	0.125	0.2222222222222222
12	10800	1	14	1.0	1.0	1.0	0.07142857142857142	0.13333333333333333
12	11200	1	8	1.0	1.0	1.0	0.125	0.2222222222222222
12	11600	3	6	1.0	1.0	0.3333333333333333	0.16666666666666666	0.2222222222222222
12	12000	5	15	5.0	5.0	1.0	0.3333333333333333	0.5
12	12400	3	4	3.0	3.0	1.0	0.75	0.8571428571428572
12	12800	0	2	0.0	0.0		0.0	
13	2000	1	3	0.0	0.0	0.0	0.0	0.0
13	2400	3	6	2.0	2.0	0.6666666666666666	0.3333333333333333	0.4444444444444444
13	2800	2	2	0.0	0.0	0.0	0.0	0.0
13	3200	3	1	0.0	0.0	0.0	0.0	0.0
13	3600	3	1	0.0	0.0	0.0	0.0	0.0
13	4000	6	4	2.0	2.0	0.3333333333333333	0.5	0.4
13	4400	4	8	3.0	3.0	0.75	0.375	0.5
13	4800	5	4	1.0	1.0	0.2	0.25	0.2222222222222222
13	5200	2	3	0.0	0.0	0.0	0.0	0.0
13	7600	3	1	0.0	0.0	0.0	0.0	0.0
13	8000	3	3	1.0	2.0	0.3333333333333333	0.6666666666666666	0.4444444444444444
13	8400	1	1	0.0	0.0	0.0	0.0	0.0
13	9200	1	6	1.0	1.0	1.0	0.16666666666666666	0.2857142857142857
13	9600	5	5	0.0	0.0	0.0	0.0	0.0
13	10000	2	5	0.0	0.0	0.0	0.0	0.0
13	10800	3	2	0.0	0.0	0.0	0.0	0.0
14	2000	4	13	3.0	3.0	0.75	0.23076923076923078	0.35294117647058826
14	2400	2	5	2.0	1.0	1.0	0.2	0.3333333333333333
14	2800	2	3	1.0	1.0	0.5	0.3333333333333333	0.4
14	3200	2	6	0.0	0.0	0.0	0.0	0.0
14	3600	1	3	1.0	1.0	1.0	0.3333333333333333	0.5
14	4800	1	5	1.0	1.0	1.0	0.2	0.3333333333333333
14	5200	3	4	3.0	2.0	1.0	0.5	0.6666666666666666
14	5600	0	2	0.0	0.0		0.0	
14	6000	1	4	1.0	1.0	1.0	0.25	0.4
14	6400	2	4	1.0	1.0	0.5	0.25	0.3333333333333333
